WindID,SeriesID,SeriesName
M5784264,GDP:不变价:工业:制造业:当季同比,
M5567906,GDP:不变价:建筑业:当季同比,
M5567907,GDP:不变价:批发和零售业:当季同比,
M5567908,GDP:不变价:交通运输、仓储和邮政业:当季同比,
M5567909,GDP:不变价:住宿和餐饮业:当季同比,
M5567910,GDP:不变价:金融业:当季同比,
M5567911,GDP:不变价:房地产业:当季同比,
M5784265,GDP:不变价:信息传输、软件和信息技术服务业:当季同比,
M5784266,GDP:不变价:租赁和商务服务业:当季同比,
M5567912,GDP:不变价:其他行业:当季同比,
M5767203,服务业生产指数,服务业生产指数:当月同比
M6001405,服务业生产指数:累计同比,
M0061567,GDP环比,GDP:环比:季调
M0000545,工业增加值:当月同比,工业增加值:当月同比
M0096211,工业增加值:采矿业:当月同比,
M0096212,工业增加值:制造业:当月同比,
M0096213,工业增加值:电力、燃气及水的生产和供应业:当月同比,
M0330955,工业增加值:高技术产业:当月同比,
M6512871,工业增加值:装备制造业:当月同比,
M0000548,工业增加值:国有及国有控股企业:当月同比,
M0000551,工业增加值:股份制企业:当月同比,
M0000552,工业增加值:外商及港澳台投资企业:当月同比,
M0000553,工业增加值:私营企业:当月同比,
M0000011,工业增加值:累计同比,
M0096214,工业增加值:采矿业:累计同比,
M0096215,工业增加值:制造业:累计同比,
M0096216,工业增加值:电力、燃气及水的生产和供应业:累计同比,
M0330930,工业增加值:高技术产业:累计同比,
M0330931,工业增加值:装备制造业:累计同比,
M0000014,工业增加值:国有及国有控股企业:累计同比,
M0000017,工业增加值:股份制企业:累计同比,
M0000018,工业增加值:外商及港澳台投资企业:累计同比,
M0000019,工业增加值:私营企业:累计同比,
M0061571,工业增加值环比,工业增加值:环比:季调
M0000032,工业增加值:农副食品加工业:当月同比,
M0000034,工业增加值:食品制造业:当月同比,
M0000040,工业增加值:纺织业:当月同比,
M0000058,工业增加值:化学原料及化学制品制造业:当月同比,
M0000060,工业增加值:医药制造业:当月同比,
M0068077,工业增加值:橡胶和塑料制品业:当月同比,
M0000068,工业增加值:非金属矿物制品业:当月同比,
M0000070,工业增加值:黑色金属冶炼及压延加工业:当月同比,
M0000072,工业增加值:有色金属冶炼及压延加工业:当月同比,
M0000074,工业增加值:金属制品业:当月同比,
M0000076,工业增加值:通用设备制造业:当月同比,
M0000078,工业增加值:专用设备制造业:当月同比,
M0068071,工业增加值:汽车制造业:当月同比,
M0000080,工业增加值:铁路、船舶、航空航天和其他运输设备制造业:当月同比,
M0000082,工业增加值:电气机械及器材制造业:当月同比,
M0000084,工业增加值:计算机、通信和其他电子设备制造业:当月同比,
M0000092,工业增加值:电力、热力的生产和供应业:当月同比,
M0000033,工业增加值:农副食品加工业:累计同比,
M0000035,工业增加值:食品制造业:累计同比,
M0000041,工业增加值:纺织业:累计同比,
M0000059,工业增加值:化学原料及化学制品制造业:累计同比,
M0000061,工业增加值:医药制造业:累计同比,
M0068078,工业增加值:橡胶和塑料制品业:累计同比,
M0000069,工业增加值:非金属矿物制品业:累计同比,
M0000071,工业增加值:黑色金属冶炼及压延加工业:累计同比,
M0000073,工业增加值:有色金属冶炼及压延加工业:累计同比,
M0000075,工业增加值:金属制品业:累计同比,
M0000077,工业增加值:通用设备制造业:累计同比,
M0000079,工业增加值:专用设备制造业:累计同比,
M0068072,工业增加值:汽车制造业:累计同比,
M0000081,工业增加值:铁路、船舶、航空航天和其他运输设备制造业:累计同比,
M0000083,工业增加值:电气机械及器材制造业:累计同比,
M0000085,工业增加值:计算机、通信和其他电子设备制造业:累计同比,
M0000093,工业增加值:电力、热力的生产和供应业:累计同比,
S0026989,原煤产量,产量:原煤:当月值
S0026997,焦炭产量,产量:焦炭:当月值
S0027012,发电量,产量:发电量:当月值
S0027171,初级塑料产量,产量:初级形态的塑料:当月值
S0027187,化学纤维产量,产量:化学纤维:当月值
S0027374,粗钢产量,产量:粗钢:当月值
